Provinsi,Nama_Kota,nama_bahasa,link_kamus_bahasa_daerah,status_crawl,note,path
Jawa Timur,,Bahasa Jawa,https://repositori.kemdikbud.go.id/25395/1/Kamus%20Istilah%20Budaya%20Jawa%20Timur%20Tahap%201.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/jawa_timur/bahasa_jawa/json/kamus_istilah_budaya_jawa_timur_tahap_1.json
Jawa Timur,,Bahasa Using,https://repositori.kemdikbud.go.id/26353/1/PENYUSUNAN%20KAMUS%20BAHASA%20USING%20100%20LEMA%20%281%29.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/jawa_timur/bahasa_using/json/penyusunan_kamus_bahasa_using_100_lema_(1).json
Jawa Timur,,Bahasa Madura,https://repositori.kemdikbud.go.id/7876/1/Bahasa%20Madura.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/jawa_timur/bahasa_madura/json/bahasa_madura.json
Bali,,Bahasa Bali,https://repositori.kemdikbud.go.id/16215/1/Kamus%20Bali%20-%20Indonesia%20Edisi%20ke-3%202016.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/bali/bahasa_bali/json/kamus_bali_-_indonesia_edisi_ke-3_2016.json
Nusa Tenggara Timur,,Bahasa Manggarai,https://pustaka.kebudayaan.kemdikbud.go.id/index.php?p=show_detail&id=10226&keywords=,FALSE,tidak ada pdf,
Nusa Tenggara Timur,,Bahasa Sikka,https://repositori.kemdikbud.go.id/3615/1/Struktur%20Bahasa%20Sikka%20%20%2096.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/nusa_tenggara_timur/bahasa_sikka/json/struktur_bahasa_sikka___96.json
Sumatera Selatan,Palembang,Bebaso,https://wiki.edunitas.com/ind/114-10/Bahasa-Palembang_62884__eduNitas.html,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sumatera_selatan/bebaso/json/bahasa-palembang_62884__edunitas.json
Sumatera Selatan,Palembang,,https://repositori.kemdikbud.go.id/26081/,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sumatera_selatan/bahasa_palembang/json/26081.json
Sumatera Selatan,,Lematang,https://rhielo.blogspot.com/2016/08/kamus-bahasa-lematang.html,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sumatera_selatan/lematang/json/kamus-bahasa-lematang.json
Sumatera Selatan,,Lematang,https://id.wiktionary.org/wiki/Lampiran:Daftar_Swadesh_bahasa_Lematang,FALSE,table error,
Sumatera Selatan,,Kayuagung,https://budayakayuagung.blogspot.com/p/kamus-indonesia-bahasa-daerah-kayuagung.html,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sumatera_selatan/kayuagung/json/kamus-indonesia-bahasa-daerah-kayuagung.json
Sumatera Selatan,,Kayuagung,https://santisaniko.blogspot.com/2014/01/belajar-bahasa-kayuagung.html,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sumatera_selatan/kayuagung/json/belajar-bahasa-kayuagung.json
Sumatera Selatan,,Ogan,https://repositori.kemdikbud.go.id/2950/1/Kamus%20Ogan%20Indonesia%20-%20263h.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sumatera_selatan/ogan/json/kamus_ogan_indonesia_-_263h.json
Sumatera Selatan,,Komering,https://id.wiktionary.org/wiki/Kategori:Kata_bahasa_Komering,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sumatera_selatan/komering/json/kategori:kata_bahasa_komering.json
Sumatera Selatan,,Komering,https://dokumen.pub/kamus-bahasa-komering.html,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sumatera_selatan/komering/json/kamus-bahasa-komering.json
Sumatera Selatan,,Pedamaran,https://kbm.id/book/read/69fee79f-c966-6367-6ccb-187aa98fc4c3/465f6b12-8764-cea4-a439-fb230c1042a3,TRUE,hanya bisa sampai huruf j ( bayar ),S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/sumatera_selatan/pedamaran/json/465f6b12-8764-cea4-a439-fb230c1042a3.json
DKI Jakarta,,Betawi,https://dinaskebudayaan.jakarta.go.id/content/uploads/Buku_elektronik/Rev-Kamus_Bahasa_Betawi_Pengayaan_Kosakata_Karya_Abdul_Chaer.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/dki_jakarta/betawi/json/rev-kamus_bahasa_betawi_pengayaan_kosakata_karya_abdul_chaer.json
Papua Barat,Manokwari,Bahasa Meyah,https://www.sil.org/system/files/reapdata/15/13/77/151377150223889013972717057481299771907/mej_daftar_kata_meyah_indonesia.pdf,TRUE,,S3://ai-pipeline-raw-data/data/data_descriptive/data_kamus/papua_barat/bahasa_meyah/json/mej_daftar_kata_meyah_indonesia.json
Kepulauan Bangka Belitung,,Bahasa Melayu Bangka,https://repositori.kemdikbud.go.id/16092/1/dummy%20kamus%20bahasa%20melayu%20bangka%20-%20indonesia.pdf,,,
